id,order_id,menu_item_id,qty,line_total_cents
190,95,5,1,485
191,95,23,1,650
192,95,30,2,0
193,96,17,1,625
194,97,7,1,600
195,97,12,2,1250
196,98,19,1,580
197,99,12,2,1250
198,100,30,1,0
199,100,27,1,695
200,100,19,1,580
201,101,17,1,625
202,102,25,1,625
203,102,12,1,625
204,102,25,1,625
205,103,15,1,580
206,103,19,2,1160
207,103,2,1,465
208,104,26,1,650
209,105,28,1,0
210,105,11,1,650
211,106,16,1,625
212,107,33,1,0
213,108,29,1,0
214,109,16,1,625
215,109,23,2,1300
216,109,10,1,650
217,110,19,1,580
218,110,32,1,0
219,110,7,1,600
220,111,18,1,520
221,111,22,1,650
222,112,7,1,600
223,112,32,1,0
224,112,18,1,520
225,113,25,1,625
226,113,18,1,520
227,113,28,2,0
228,114,20,1,625
229,114,13,1,580
230,115,29,1,0
231,116,17,1,625
232,116,5,1,485
233,117,33,1,0
234,117,7,1,600
235,118,13,1,580
236,118,6,1,485
237,119,11,1,650
238,119,1,2,930
239,120,18,1,520
240,120,10,1,650
241,120,9,1,600
242,121,28,1,0
243,122,17,1,625
244,122,2,1,465
245,122,26,1,650
246,123,4,1,485
247,124,18,1,520
248,124,30,1,0
249,125,32,1,0
250,125,6,1,485
251,126,9,1,600
252,127,30,1,0
253,128,7,1,600
254,129,24,1,650
255,129,17,1,625
256,130,2,1,465
257,130,10,1,650
258,130,16,1,625
259,131,34,1,0
260,131,26,1,650
261,132,34,1,0
262,132,34,1,0
263,132,26,1,650
264,133,31,1,0
265,133,27,1,695
266,134,23,1,650
267,134,26,1,650
268,135,17,1,625
269,135,2,2,930
270,135,11,1,650
271,136,20,1,625
272,137,21,1,625
273,137,14,1,580
274,138,8,2,1200
275,138,15,1,580
276,139,2,1,465
277,139,15,2,1160
278,140,9,1,600
279,140,33,1,0
280,141,32,1,0
281,142,11,1,650
282,142,20,1,625
283,142,19,1,580
284,143,21,1,625
285,143,4,1,485
286,143,34,1,0
287,144,12,1,625
288,145,13,1,580
289,146,21,2,1250
290,146,23,1,650
291,146,20,2,1250
292,147,28,1,0
293,147,19,1,580
294,147,13,1,580
295,148,13,1,580
296,148,22,1,650
297,149,27,2,1390
298,150,4,2,970
299,151,33,1,0
300,151,4,1,485
301,151,27,2,1390
302,152,20,1,625
303,153,17,1,625
304,153,12,1,625
305,154,30,2,0
306,155,1,1,465
307,155,3,1,465
308,155,12,1,625
309,156,4,2,970
310,157,14,1,580
311,158,25,1,625
312,158,13,1,580
313,159,16,1,625
314,159,28,2,0
315,159,26,1,650
316,160,10,1,650
317,161,15,1,580
318,161,3,1,465
319,162,30,2,0
320,163,21,1,625
321,164,16,2,1250
322,165,7,1,600
323,166,30,2,0
324,167,5,1,485
325,167,13,2,1160
326,167,13,1,580
327,168,18,2,1040
328,168,33,1,0
329,168,22,1,650
330,169,31,2,0
331,170,33,1,0
332,170,24,2,1300
333,170,27,1,695
334,171,3,1,465
335,172,33,1,0
336,173,23,1,650
337,173,16,2,1250
338,174,3,2,930
339,174,12,1,625
340,174,5,1,485
341,175,26,1,650
342,175,14,1,580
343,176,3,2,930
344,177,25,1,625
345,177,7,1,600
346,177,25,1,625
347,178,24,1,650
348,179,13,1,580
349,180,6,1,485
350,180,7,1,600
351,180,4,1,485
352,181,25,1,625
353,181,24,1,650
354,181,26,1,650
355,182,3,1,465
356,182,17,1,625
357,183,27,1,695
358,183,21,2,1250
359,184,31,2,0
360,184,21,1,625
361,184,17,1,625
362,185,10,2,1300
363,185,10,1,650
364,186,20,2,1250
365,186,1,1,465
366,186,12,1,625
367,187,31,1,0
368,187,32,2,0
369,187,8,2,1200
370,188,8,1,600
371,188,1,2,930
372,188,23,1,650
373,189,24,2,1300
374,190,25,1,625
375,190,3,1,465
376,190,19,1,580
377,191,8,1,600
378,192,28,1,0
379,193,26,2,1300
380,193,31,1,0
381,193,9,1,600
382,194,4,1,485
383,194,27,1,695
384,194,29,1,0
385,195,2,1,465
386,196,25,1,625
387,197,16,1,625
388,197,11,1,650
389,198,7,1,600
390,198,16,1,625
391,198,6,1,485
392,199,19,1,580
393,200,12,1,625
394,200,8,1,600
395,200,21,1,625
396,201,4,1,485
397,201,12,1,625
398,201,20,1,625
399,202,17,1,625
400,202,21,1,625
401,202,25,1,625
402,203,34,1,0
403,203,28,1,0
404,203,2,1,465
405,204,9,1,600
406,204,26,1,650
407,204,20,1,625
408,205,19,1,580
409,205,13,2,1160
410,206,32,2,0
411,206,6,1,485
412,207,28,1,0
413,207,20,1,625
414,207,15,1,580
415,208,1,1,465
416,208,23,2,1300
417,209,4,1,485
418,210,10,1,650
419,211,17,1,625
420,211,32,1,0
421,211,29,1,0
422,212,20,1,625
423,213,4,1,485
424,213,8,1,600
425,213,1,1,465
426,214,5,1,485
427,214,17,1,625
428,214,4,1,485
429,215,24,1,650
430,216,22,1,650
431,216,19,1,580
432,217,2,2,930
433,218,23,2,1300
434,218,13,1,580
435,218,4,1,485
436,219,24,1,650
437,219,26,1,650
438,219,14,1,580
439,220,10,1,650
440,220,24,1,650
441,220,30,1,0
442,221,30,1,0
443,221,34,1,0
444,221,19,1,580
445,222,27,1,695
446,222,17,2,1250
447,222,5,1,485
448,223,30,1,0
449,224,23,1,650
450,224,30,1,0
451,225,30,1,0
452,225,2,1,465
453,226,9,1,600
454,226,15,1,580
455,226,14,2,1160
456,227,7,1,600
457,227,11,1,650
458,228,14,1,580
459,229,1,1,465
460,230,25,1,625
461,231,24,1,650
462,231,27,1,695
463,232,9,1,600
464,232,25,1,625
465,232,25,1,625
466,233,16,1,625
467,233,10,2,1300
468,233,22,1,650
469,234,24,1,650
470,234,31,1,0
471,234,22,1,650
472,235,16,1,625
473,235,22,2,1300
474,236,34,1,0
475,236,23,1,650
476,236,29,1,0
477,237,12,1,625
478,238,6,1,485
479,239,26,2,1300
480,239,29,1,0
481,239,22,1,650
482,240,27,1,695
483,241,27,1,695
484,241,31,1,0
485,241,11,1,650
486,242,25,1,625
487,243,2,1,465
488,243,30,1,0
489,243,34,1,0
490,244,19,1,580
491,245,23,1,650
492,245,34,1,0
493,245,11,1,650
494,246,29,1,0
495,246,29,2,0
496,247,32,1,0
497,247,28,1,0
498,247,12,2,1250
499,248,20,1,625
500,249,9,1,600
501,249,29,1,0
502,249,16,1,625
503,250,29,1,0
504,251,4,2,970
505,252,27,1,695
506,253,5,1,485
507,253,11,2,1300
508,254,2,1,465
509,254,26,1,650
510,255,19,2,1160
511,255,26,2,1300
512,256,29,2,0
513,256,28,1,0
514,257,33,2,0
515,257,12,1,625
516,257,5,2,970
517,258,25,1,625
518,258,24,1,650
519,258,16,1,625
520,259,13,2,1160
521,260,9,2,1200
522,260,31,1,0
523,261,25,1,625
524,261,12,1,625
525,261,13,1,580
526,262,23,1,650
527,263,1,1,465
528,263,3,2,930
529,263,5,1,485
530,264,7,1,600
531,264,15,1,580
532,264,28,1,0
533,265,16,1,625
534,265,31,1,0
535,266,6,2,970
536,267,27,2,1390
537,268,25,1,625
538,268,34,1,0
539,269,15,1,580
540,270,31,1,0
541,271,31,1,0
542,272,32,1,0
543,272,16,1,625
544,273,19,1,580
545,273,21,1,625
546,274,14,2,1160
547,275,29,1,0
548,275,26,2,1300
549,275,10,1,650
550,276,12,1,625
551,277,10,1,650
552,277,31,2,0
553,278,4,2,970
554,278,4,1,485
555,278,12,1,625
556,279,34,1,0
557,279,29,1,0
558,280,29,1,0
559,281,16,1,625
560,281,31,1,0
561,281,25,1,625
562,282,16,1,625
563,283,34,1,0
564,284,28,1,0
565,284,12,1,625
566,284,13,1,580
567,285,34,1,0
568,286,27,1,695
569,286,2,1,465
570,286,14,2,1160
571,287,14,1,580
572,288,28,1,0
573,288,20,1,625
574,288,21,1,625
575,289,27,1,695
576,290,29,1,0
577,290,33,1,0
578,290,14,1,580
579,291,16,1,625
580,291,3,1,465
581,292,29,1,0
582,293,10,1,650
583,294,2,2,930
584,294,11,1,650
585,295,19,2,1160
586,295,17,1,625
587,295,11,2,1300
588,296,31,1,0
589,296,13,1,580
590,296,18,1,520
591,297,2,1,465
592,298,25,1,625
593,298,17,1,625
594,298,2,1,465
595,299,18,1,520
596,300,13,2,1160
597,300,8,1,600
598,301,11,1,650
599,301,16,1,625
600,302,29,1,0
601,303,6,1,485
602,303,32,1,0
603,304,34,1,0
604,305,10,1,650
605,305,14,1,580
606,305,18,1,520
607,306,33,1,0
608,306,14,1,580
609,307,8,1,600
610,307,32,1,0
611,308,27,1,695
612,309,23,1,650
613,309,18,1,520
614,309,8,1,600
615,310,7,2,1200
616,311,15,1,580
617,312,12,1,625
618,313,18,1,520
619,313,11,1,650
620,313,2,2,930
621,314,9,1,600
622,314,5,1,485
623,315,28,1,0
624,316,4,1,485
625,317,15,1,580
626,317,20,2,1250
627,318,1,1,465
628,318,2,2,930
629,318,30,1,0
630,319,3,2,930
631,320,20,1,625
632,321,3,1,465
633,321,32,1,0
634,322,8,1,600
635,322,19,1,580
636,323,24,1,650
637,323,29,1,0
638,323,28,1,0
639,324,32,1,0
640,325,7,1,600
641,325,8,1,600
642,326,11,1,650
643,327,17,2,1250
644,327,16,1,625
645,328,2,2,930
646,329,1,1,465
647,329,21,1,625
648,329,33,2,0
649,330,22,1,650
650,330,7,2,1200
651,330,6,2,970
652,331,23,1,650
653,331,13,2,1160
654,332,9,1,600
655,333,5,1,485
656,333,15,1,580
657,334,31,1,0
658,335,21,1,625
659,335,21,1,625
660,335,1,1,465
661,336,32,1,0
662,336,26,1,650
663,336,21,1,625
664,337,21,1,625
665,338,20,1,625
666,338,25,1,625
667,338,14,1,580
668,339,25,1,625
669,340,29,1,0
670,341,5,1,485
671,341,21,1,625
672,342,31,1,0
673,342,11,1,650
674,342,11,1,650
675,343,7,1,600
676,344,6,1,485
677,345,21,1,625
678,346,23,2,1300
679,346,14,1,580
680,347,25,1,625
681,348,4,1,485
682,348,32,1,0
683,349,21,1,625
684,349,16,1,625
685,349,34,1,0
686,350,23,1,650
687,350,4,1,485
688,351,12,1,625
689,351,7,1,600
690,352,7,1,600
691,352,14,1,580
692,353,33,1,0
693,354,2,1,465
694,355,26,1,650
695,356,29,1,0
696,356,21,1,625
697,356,11,1,650
698,357,13,1,580
699,358,26,1,650
700,359,6,1,485
701,359,18,1,520
702,359,8,1,600
703,360,25,1,625
704,361,13,1,580
705,361,34,1,0
706,362,21,1,625
707,362,17,1,625
708,362,2,1,465
709,363,5,1,485
710,363,6,2,970
711,363,6,1,485
712,364,34,1,0
713,365,21,1,625
714,365,9,1,600
715,365,19,1,580
716,366,34,2,0
717,366,7,1,600
718,366,27,1,695
719,367,25,1,625
720,367,28,1,0
721,368,16,1,625
722,369,19,1,580
723,369,33,1,0
724,370,2,1,465
725,370,3,1,465
726,371,24,1,650
727,372,29,1,0
728,372,1,1,465
729,373,15,1,580
730,374,4,1,485
731,374,31,2,0
732,375,8,1,600
733,375,28,1,0
734,375,19,1,580
735,376,11,1,650
736,376,33,1,0
737,376,25,1,625
738,377,34,1,0
739,377,21,1,625
740,378,26,1,650
741,378,23,1,650
742,378,7,1,600
743,379,28,1,0
744,379,22,1,650
745,379,24,1,650
746,380,9,1,600
747,380,13,1,580
748,381,28,1,0
749,381,8,1,600
750,381,32,1,0
751,382,26,1,650
752,382,28,1,0
753,382,14,1,580
754,383,27,2,1390
755,383,2,1,465
756,383,32,1,0
757,384,22,1,650
758,385,20,1,625
759,385,8,1,600
760,386,34,1,0
761,387,2,1,465
762,387,28,1,0
763,388,4,1,485
764,388,18,1,520
765,388,32,1,0
766,389,9,1,600
767,390,4,2,970
768,390,27,1,695
769,390,30,2,0
770,391,31,1,0
771,391,33,1,0
772,392,19,1,580
773,393,19,1,580
774,394,32,1,0
775,394,25,1,625
776,394,2,1,465
777,395,8,1,600
778,395,14,1,580
779,396,18,1,520
780,396,3,1,465
781,396,14,1,580
782,397,13,1,580
783,398,12,1,625
784,398,24,1,650
785,399,17,1,625
786,399,8,1,600
787,400,3,1,465
788,400,8,1,600
789,401,14,1,580
790,401,8,1,600
791,401,19,1,580
792,402,25,1,625
793,403,34,1,0
794,403,32,2,0
795,404,14,1,580
796,404,1,1,465
797,404,34,1,0
798,405,11,1,650
799,405,22,1,650
800,406,33,1,0
801,406,27,1,695
802,406,6,1,485
803,407,7,1,600
804,407,24,1,650
805,408,27,1,695
806,408,3,1,465
807,408,22,1,650
808,409,15,1,580
809,409,24,1,650
810,410,6,1,485
811,411,2,1,465
812,412,2,1,465
813,412,7,2,1200
814,412,19,1,580
815,413,15,2,1160
816,413,30,2,0
817,413,20,1,625
818,414,26,1,650
819,414,31,1,0
820,414,29,1,0
821,415,3,1,465
822,415,34,1,0
823,416,15,1,580
824,416,3,1,465
825,417,27,1,695
826,417,29,1,0
827,418,11,1,650
828,418,27,1,695
829,418,15,1,580
830,419,8,1,600
831,419,22,2,1300
832,419,7,1,600
833,420,11,1,650
834,421,16,1,625
835,421,16,1,625
836,421,3,2,930
837,422,7,1,600
838,422,14,1,580
839,423,16,1,625
840,424,32,1,0
841,424,28,2,0
842,424,22,1,650
843,425,2,1,465
844,425,6,1,485
845,426,5,1,485
846,426,3,1,465
847,427,23,1,650
848,427,20,1,625
849,428,19,2,1160
850,428,19,1,580
851,428,33,1,0
852,429,32,2,0
853,429,32,1,0
854,430,13,1,580
855,430,12,1,625
856,430,5,1,485
857,431,5,1,485
858,432,29,1,0
859,433,32,1,0
860,433,5,1,485
861,433,21,1,625
862,434,33,1,0
863,434,25,1,625
864,434,17,1,625
865,435,29,1,0
866,436,29,1,0
867,436,18,2,1040
868,436,16,2,1250
869,437,30,1,0
870,437,28,1,0
871,437,26,2,1300
872,438,12,1,625
873,438,10,1,650
874,439,10,1,650
875,439,11,1,650
876,440,8,2,1200
877,440,23,1,650
878,440,25,1,625
879,441,14,1,580
880,442,22,1,650
881,442,20,2,1250
882,443,25,1,625
883,443,15,1,580
884,443,20,2,1250
885,444,32,1,0
886,445,29,1,0
887,446,11,1,650
888,446,23,1,650
889,447,34,1,0
890,447,34,1,0
891,447,21,1,625
892,448,18,1,520
893,449,20,1,625
894,449,18,1,520
895,449,5,1,485
896,450,30,2,0
897,450,29,2,0
898,450,19,1,580
899,451,1,1,465
900,452,3,1,465
901,453,4,1,485
902,453,20,1,625
903,453,24,1,650
904,454,2,1,465
905,454,34,1,0
906,454,29,1,0
907,455,8,2,1200
908,456,27,2,1390
909,457,15,1,580
910,458,33,1,0
911,458,7,1,600
912,459,32,1,0
913,459,12,1,625
914,460,32,1,0
915,460,34,2,0
916,461,16,1,625
917,461,22,1,650
918,462,22,1,650
919,462,13,2,1160
920,463,17,1,625
921,463,12,1,625
922,463,12,1,625
923,464,23,1,650
924,464,4,1,485
925,465,23,1,650
926,465,26,1,650
927,466,8,1,600
928,466,33,2,0
929,467,14,1,580
930,468,27,1,695
931,468,13,2,1160
932,469,21,1,625
933,469,7,2,1200
934,469,28,1,0
935,470,7,2,1200
936,470,10,2,1300
937,470,21,1,625
938,471,21,1,625
939,472,1,1,465
940,472,23,1,650
941,472,9,1,600
942,473,11,1,650
943,473,9,1,600
944,473,30,2,0
945,474,32,1,0
946,475,12,1,625
947,475,10,1,650
948,475,34,1,0
949,476,7,1,600
950,476,6,1,485
951,476,25,1,625
952,477,25,1,625
953,477,3,1,465
954,478,32,2,0
955,478,10,2,1300
956,479,31,1,0
957,479,14,1,580
958,479,6,1,485
959,480,1,1,465
960,481,13,1,580
961,481,19,1,580
962,482,33,1,0
963,482,8,1,600
964,482,14,1,580
965,483,13,1,580
966,483,17,1,625
967,483,16,1,625
968,484,23,1,650
969,484,20,1,625
970,484,14,1,580
971,485,9,1,600
972,485,26,1,650
973,485,9,1,600
974,486,6,2,970
975,486,26,1,650
976,487,3,1,465
977,488,29,2,0
978,488,8,1,600
979,489,30,1,0
980,490,14,1,580
981,490,34,1,0
982,491,8,1,600
983,491,18,1,520
984,492,15,2,1160
985,492,26,1,650
986,493,16,1,625
987,493,29,2,0
988,493,30,2,0
989,494,10,1,650
990,495,13,1,580
991,495,7,1,600
992,496,27,1,695
993,496,19,1,580
994,497,29,1,0
995,497,25,1,625
996,498,4,1,485
997,498,16,1,625
998,498,15,1,580
999,499,15,1,580
1000,499,3,1,465
1001,500,17,1,625
1002,500,33,1,0
1003,501,26,1,650
1004,501,22,1,650
1005,502,30,1,0
1006,503,33,1,0
1007,504,11,1,650
1008,504,7,1,600
1009,504,2,1,465
1010,505,30,1,0
1011,506,12,1,625
1012,506,4,1,485
1013,507,15,2,1160
1014,507,23,2,1300
1015,507,21,1,625
1016,508,29,1,0
1017,509,6,1,485
1018,509,21,1,625
1019,509,21,1,625
1020,510,7,1,600
1021,511,32,1,0
1022,511,20,2,1250
1023,512,12,1,625
1024,513,9,1,600
1025,513,26,1,650
1026,514,20,1,625
1027,514,5,1,485
1028,515,18,1,520
1029,516,32,1,0
1030,517,19,1,580
1031,517,2,1,465
1032,517,27,1,695
1033,518,15,1,580
1034,519,15,1,580
1035,519,8,2,1200
1036,520,9,1,600
1037,520,22,1,650
1038,521,12,1,625
1039,522,6,2,970
1040,522,30,2,0
1041,523,1,1,465
1042,523,34,1,0
1043,523,32,1,0
1044,524,15,1,580
1045,525,23,2,1300
1046,526,9,1,600
1047,527,23,1,650
1048,527,16,1,625
1049,528,1,1,465
1050,528,3,1,465
1051,529,4,1,485
1052,530,22,1,650
1053,530,16,2,1250
1054,531,7,1,600
1055,531,24,1,650
1056,532,1,1,465
1057,533,34,1,0
1058,533,21,1,625
1059,533,27,1,695
1060,534,18,1,520
1061,534,20,1,625
1062,534,31,2,0
1063,535,22,1,650
1064,535,34,1,0
1065,535,5,1,485
1066,536,23,1,650
1067,536,18,1,520
1068,537,3,2,930
1069,537,8,2,1200
1070,537,18,1,520
1071,538,23,1,650
1072,538,32,1,0
1073,539,12,1,625
1074,539,7,1,600
1075,539,4,1,485
1076,540,23,1,650
1077,541,22,1,650
1078,542,17,1,625
1079,542,4,1,485
1080,543,18,1,520
1081,543,21,1,625
1082,544,4,2,970
1083,545,19,1,580
1084,545,31,1,0
1085,546,32,1,0
1086,546,2,1,465
1087,546,28,1,0
1088,547,22,1,650
1089,548,34,1,0
1090,548,17,1,625
1091,549,13,1,580
1092,550,31,1,0
1093,551,4,1,485
1094,552,14,1,580
1095,553,12,1,625
1096,553,19,1,580
1097,554,1,1,465
1098,555,29,2,0
1099,556,28,2,0
1100,556,26,2,1300
1101,557,25,1,625
1102,557,21,1,625
1103,558,29,1,0
1104,558,13,1,580
1105,559,5,2,970
1106,559,10,1,650
1107,559,12,1,625
1108,560,11,1,650
1109,561,30,1,0
1110,561,15,1,580
1111,561,7,1,600
1112,562,30,1,0
1113,563,1,1,465
1114,563,20,1,625
1115,564,6,1,485
1116,564,21,1,625
1117,565,12,1,625
1118,565,22,1,650
1119,565,8,1,600
1120,566,33,1,0
1121,566,18,1,520
1122,566,13,1,580
1123,567,4,1,485
1124,568,9,1,600
1125,569,8,1,600
1126,569,17,1,625
1127,569,1,1,465
1128,570,30,2,0
1129,570,34,1,0
1130,571,15,1,580
1131,571,13,1,580
1132,571,7,1,600
1133,572,8,1,600
1134,572,10,1,650
1135,572,1,2,930
1136,573,22,1,650
1137,574,29,2,0
1138,575,21,1,625
1139,575,28,2,0
1140,575,11,1,650
1141,576,32,1,0
1142,576,16,2,1250
1143,577,5,1,485
1144,577,15,1,580
1145,577,26,1,650
1146,578,12,1,625
1147,578,22,1,650
1148,579,10,1,650
1149,580,9,1,600
1150,580,33,1,0
1151,580,23,1,650
1152,581,31,1,0
1153,582,16,1,625
1154,583,12,1,625
1155,584,34,1,0
1156,584,25,1,625
1157,585,10,1,650
1158,585,9,1,600
1159,586,23,1,650
1160,586,27,2,1390
1161,586,20,1,625
1162,587,31,1,0
1163,588,5,1,485
1164,588,2,2,930
1165,588,27,1,695
1166,589,22,1,650
1167,589,3,1,465
1168,589,28,1,0
1169,590,19,1,580
1170,590,20,1,625
1171,590,17,1,625
1172,591,9,1,600
1173,592,17,1,625
1174,592,7,2,1200
1175,593,28,1,0
1176,593,27,1,695
1177,594,7,1,600
1178,594,33,1,0
1179,595,15,1,580
1180,595,29,1,0
1181,595,6,1,485
1182,596,17,1,625
1183,596,27,1,695
1184,597,22,1,650
1185,597,29,1,0
1186,597,32,1,0
1187,598,33,1,0
1188,598,12,1,625
1189,599,34,1,0
1190,599,7,1,600
1191,599,11,1,650
1192,600,22,1,650
1193,600,25,1,625
1194,601,27,1,695
1195,601,20,1,625
1196,601,20,2,1250
1197,602,6,1,485
1198,602,33,1,0
1199,603,21,1,625
1200,603,8,1,600
1201,604,18,1,520
1202,605,17,1,625
1203,605,29,1,0
1204,606,10,1,650
1205,606,10,1,650
1206,607,3,1,465
1207,607,5,2,970
1208,607,30,1,0
1209,608,14,1,580
1210,609,4,1,485
1211,609,23,2,1300
1212,609,29,1,0
1213,610,12,1,625
1214,611,14,1,580
1215,611,29,1,0
1216,611,22,1,650
1217,612,28,1,0
1218,612,1,1,465
1219,613,19,1,580
1220,614,22,1,650
1221,614,23,1,650
1222,614,31,1,0
1223,615,16,1,625
1224,615,12,2,1250
1225,615,26,1,650
1226,616,25,1,625
1227,616,21,1,625
1228,617,23,1,650
1229,617,19,1,580
1230,617,8,2,1200
1231,618,30,1,0
1232,619,28,1,0
1233,620,2,1,465
1234,620,10,1,650
1235,620,30,1,0
1236,621,3,1,465
1237,621,10,1,650
1238,621,34,1,0
1239,622,2,1,465
1240,623,7,2,1200
1241,623,23,1,650
1242,624,11,1,650
1243,624,14,1,580
1244,625,4,2,970
1245,625,27,1,695
1246,625,2,1,465
1247,626,29,1,0
1248,626,24,1,650
1249,627,4,1,485
1250,627,34,1,0
1251,628,22,1,650
1252,628,21,1,625
1253,628,21,1,625
1254,629,16,2,1250
1255,630,34,1,0
1256,631,19,2,1160
1257,631,6,1,485
1258,631,11,1,650
1259,632,21,1,625
1260,633,2,1,465
1261,634,15,1,580
1262,634,13,1,580
1263,635,5,2,970
1264,635,26,2,1300
1265,635,33,1,0
1266,636,33,1,0
1267,636,30,1,0
1268,637,10,2,1300
1269,638,8,1,600
1270,638,10,1,650
1271,639,26,1,650
1272,639,22,1,650
1273,640,22,1,650
1274,640,7,1,600
1275,641,11,1,650
1276,642,34,1,0
1277,643,12,2,1250
1278,643,30,1,0
1279,643,13,2,1160
1280,644,8,1,600
1281,644,22,1,650
1282,645,15,1,580
1283,646,33,1,0
1284,646,6,1,485
1285,647,9,2,1200
1286,647,11,1,650
1287,648,6,1,485
1288,649,23,1,650
1289,649,14,1,580
1290,649,34,1,0
1291,650,14,1,580
1292,650,10,1,650
1293,651,20,1,625
1294,651,20,1,625
1295,651,10,1,650
1296,652,18,1,520
1297,653,28,1,0
1298,654,3,1,465
1299,655,18,2,1040
1300,655,9,1,600
1301,656,17,1,625
1302,656,29,2,0
1303,657,10,1,650
1304,657,11,1,650
1305,657,6,1,485
1306,658,15,1,580
1307,659,26,1,650
1308,659,7,1,600
1309,660,1,1,465
1310,660,14,1,580
1311,661,4,1,485
1312,662,2,1,465
1313,662,10,2,1300
1314,662,15,1,580
1315,663,29,2,0
1316,663,29,2,0
1317,664,19,1,580
1318,665,13,1,580
1319,665,26,1,650
1320,666,34,1,0
1321,666,26,1,650
1322,666,6,1,485
1323,667,17,1,625
1324,668,17,1,625
1325,669,15,1,580
1326,670,9,1,600
1327,670,17,1,625
1328,671,27,1,695
1329,672,21,1,625
1330,672,26,1,650
1331,673,15,1,580
1332,673,26,1,650
1333,674,23,1,650
1334,674,21,2,1250
1335,674,20,1,625
1336,675,29,1,0
1337,675,26,1,650
1338,675,1,1,465
1339,676,4,1,485
1340,676,29,1,0
1341,676,30,1,0
1342,677,21,1,625
1343,677,12,1,625
1344,678,19,1,580
1345,679,29,1,0
1346,679,30,1,0
1347,680,18,1,520
1348,681,16,1,625
